expr,k_min,ic,ic_tstat,n
r2_rev_15m,5,0.010037884626641342,2.949937764905672,86359
r2_rev_15m,15,0.013137058295379787,3.860639347815929,86349
r2_rev_15m,30,0.010110506989400171,2.9708521113405246,86334
r2_rev_15m,60,0.0016892643125838056,0.4962592982506341,86304
r2_rev_30m,5,0.004570161929456952,1.3429108287457054,86344
r2_rev_30m,15,0.010135907798350564,2.978316602564916,86334
r2_rev_30m,30,0.0022803839421105835,0.6699729557359101,86319
r2_rev_30m,60,-0.002959039497636277,-0.8692112696294132,86289
r2_rev_45m,5,0.0010381577958332418,0.3050260480208726,86329
r2_rev_45m,15,0.002139741401679122,0.6286522191828781,86319
r2_rev_45m,30,-0.0025859022892116487,-0.7596682801047816,86304
r2_rev_45m,60,-0.00652285126380223,-1.9159388688443333,86274
r2_rev_60m,5,0.0030568933743076896,0.898085965830283,86314
r2_rev_60m,15,0.001770999259257406,0.5202708465090505,86304
r2_rev_60m,30,-0.003031974157208724,-0.8906358582098952,86289
r2_rev_60m,60,-0.00231099992610167,-0.6787319074438797,86259
r2_rev_15m_volscale,5,0.005303477547916951,1.5585316126162858,86359
r2_rev_15m_volscale,15,0.0065698298324513614,1.9305769664843468,86349
r2_rev_15m_volscale,30,0.005918095261630865,1.738903405747077,86334
r2_rev_15m_volscale,60,-0.005458631926541295,-1.6036172213581878,86304
r2_rev_30m_volscale,5,0.0030079906865876733,0.8838722604393795,86344
r2_rev_30m_volscale,15,0.008333749692073275,2.4487330047039038,86334
r2_rev_30m_volscale,30,0.0010497010010099362,0.30839975154829985,86319
r2_rev_30m_volscale,60,-0.005239867803306433,-1.539213902469406,86289
r2_rev_30m_ema15,5,0.004404088553053025,1.2940054168579502,86330
r2_rev_30m_ema15,15,0.003630926268204775,1.0667704507001405,86320
r2_rev_30m_ema15,30,-0.0017242088948975125,-0.506528018257392,86305
r2_rev_30m_ema15,60,-0.006697277126953516,-1.9671861592215296,86275
r2_rev_30m_volscale_hd,5,0.004808199720830141,1.4128581829274898,86344
r2_rev_30m_volscale_hd,15,0.010735164191308585,3.154420733110764,86334
r2_rev_30m_volscale_hd,30,0.0035928886432597057,1.0555886916916852,86319
r2_rev_30m_volscale_hd,60,-0.003286974922596095,-0.9655425600371522,86289
