expr,quintile,ann_ret,sharpe
f1_ivol_resid_20d,1,0.24545480096217429,0.8046218017627569
f1_ivol_resid_20d,2,0.09756743647384565,0.360956279223035
f1_ivol_resid_20d,3,0.13986799970428104,0.6035624048592129
f1_ivol_resid_20d,4,0.15824850643836094,0.6858939944859331
f1_ivol_resid_20d,5,0.06665089705470784,0.3951145574442076
f2_total_vol_20d,1,0.24015584386774863,0.7524363403267456
f2_total_vol_20d,2,0.18840561596017685,0.6507775960082072
f2_total_vol_20d,3,0.18545369552485008,0.7355687577738174
f2_total_vol_20d,4,0.11217235761915396,0.4979988401592033
f2_total_vol_20d,5,0.08151579991612391,0.5464944777014837
f3_ivol_resid_10d,1,0.21681176393700757,0.7079125376583225
f3_ivol_resid_10d,2,0.09630734048167872,0.3650738933302924
f3_ivol_resid_10d,3,0.1382139328704588,0.5480143923958729
f3_ivol_resid_10d,4,0.12079560189962942,0.5591079560999718
f3_ivol_resid_10d,5,0.06278249820426439,0.3557882084202057
f4_ivol_resid_40d,1,0.23907437590637196,0.7600368930850872
f4_ivol_resid_40d,2,0.16459006913074298,0.6418378679088331
f4_ivol_resid_40d,3,0.14621975307466506,0.605839152561002
f4_ivol_resid_40d,4,0.1570707653323228,0.6899690265477617
f4_ivol_resid_40d,5,0.08732614338403558,0.5092039531931365
f5_ivol_resid_amp_20d,1,0.25608763449369193,0.8334401485214609
f5_ivol_resid_amp_20d,2,0.09024099868214311,0.3357778022761128
f5_ivol_resid_amp_20d,3,0.1473788296686981,0.6229844552625927
f5_ivol_resid_amp_20d,4,0.15225649424326304,0.6704550974670485
f5_ivol_resid_amp_20d,5,0.06530445986572582,0.3901342408892453
f6_ivol_lag5_20d,1,0.22647673329150675,0.7414014962729518
f6_ivol_lag5_20d,2,0.10998167499355664,0.4233602192669023
f6_ivol_lag5_20d,3,0.13580695177738655,0.5843462803160441
f6_ivol_lag5_20d,4,0.17497242120875386,0.746440498101553
f6_ivol_lag5_20d,5,0.07310848159060503,0.4235754773566323
f7_vol_of_vol_20m40,1,0.2359047825309896,0.8941977599436959
f7_vol_of_vol_20m40,2,0.16474773235947324,0.6823307131961831
f7_vol_of_vol_20m40,3,0.132784165300516,0.5906371095405845
f7_vol_of_vol_20m40,4,0.12052229600189364,0.5219706017589794
f7_vol_of_vol_20m40,5,0.13853141502884522,0.574285511795997
f8_kitchen_sink_rank,1,0.22347446805725424,0.7451533017547621
f8_kitchen_sink_rank,2,0.15948312196280773,0.584765028501643
f8_kitchen_sink_rank,3,0.191651247874906,0.7612067453884566
f8_kitchen_sink_rank,4,0.14702734958193667,0.6923704903627568
f8_kitchen_sink_rank,5,0.06718096613245095,0.40072491987108244
